Stoller Wholesale,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,"Product Location Report  WAREHOUSE
All Items Sorted by Item Number",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,"QOH
Case/Bot",,
Item Nmbr,,Item Description,,,,Size,,BPC,,FF,,WH1,,WH2,,WH3,,BOT,,,QOO
,,,,,,,,,,,,,,,,,,,,,
322022141,,ALASKA FROSTBITE VODKA,,,,750ML,,6,,,,,,,,,,,0 / 0,,10.00
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
322024041,,ALASKA OUTLAW WHISKEY,,,,750ML,,6,,,,,,,,,,,0 / 0,,15.00
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
322021141,,ALASKA PURGATORY HEMP SEED VODKA,,,,750ML,,6,,,,,,,,,,,0 / 0,,10.00
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
322021040,,ALASKA PURGATORY VODKA,,,,750ML,,12,,,,,,,,,,,0 / 0,,0.00
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
322023040,,ALASKA RHUBARB VODKA,,,,750ML,,12,,,,,,,,,,,0 / 0,,0.00
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
322023141,,ALASKA RHUBARB VODKA,,,,750ML,,6,,,,,,,,,,,0 / 0,,10.00
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
322010040,,ALASKA SMOKED SALMON VODKA,,,,750M,,12,,,,42-37-1,,47-19-5,,,,12-14-2,26 / 10,,0.00
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
248010040,,ALBATROS MALBEC 2011,,,,750M,,12,,08-56-2,,70-11-3,,,,,,12-15-5,247 / 0,,0.00
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
506001140,,ALBEISA BARBARESCO RISERVA,,,,750ML,,12,,,,46-32-1,,,,,,,0 / 0,,0.00
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
506000140,,ALBEISA BARBERA D'ALBA,,,,750ML,,12,,,,44-41-1,,,,,,,4 / 11,,0.00
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
506000340,,ALBEISA BAROLO,,,,750ML,,12,,,,46-48-1,,44-30-2,,,,,7 / 10,,0.00
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
545001045,,ALBERT DE MONTAUBERT COGNAC 15 YR,,,,750ML,,1,,,,,,,,,,,0 / 0,,0.00
,,,,,,,,,,,,,,,,,,,,,
